name,designation,speciality,location,fee
Dr Bushra Saeed,N/A,Gynecologists,"Shalamar Hospital                Shalimar Link Road, Mughalpura, Lahore.  Mughalpura , Lahore",
Dr. Farah Naz,N/A,Gynecologists,"DHA Medical Centre                P-38 / A, 10th Street, Khayaban-e-Rahat, Street # 10, Phase-VI, DHA.  DHA , karachi",
Dr Huma Ahmed,N/A,Gynecologists,"Ziauddin Hospital                Cifton, 4/B, Shahrah-e-Ghalib, Block 6, Clifton, Karachi.  Clifton , karachi",
Dr Farhana Saeed,N/A,Gynecologists,"Shalamar Hospital                Shalimar Link Road, Mughalpura, Lahore.  MughalPura , Lahore",
Dr Raheel Hussain,N/A,Cardiologists,"Burhani Hospital                Tayebjee Road, Gari Khata, Hassan Ali Effendi Road, Karachi.  Gari Khata , karachi",
Dr.Nelofar Saleem,N/A,Gynecologists,"Bilal Hospital                38-A, Satellite Town, Sadiqabad Road, Rawalpind.  Satellite Town , Rawalpindi",
Dr Ghulam Saqlain,N/A,ENT Specialist,"Ali Hospital                9-E, Huma Plaza, Opp Polyclinic Blue Area, Islamabad.  Blue Area , Islamabad",
Dr. Zafar Mahmood,N/A,ENT Specialist,"Patel Hospital                ST-18, Block-4 , Gulshan-e-Iqbal, Karachi.   Gulshan-e-Iqbal , karachi",
Dr Seemi Bibi,N/A,Gynecologists,"9-Saba Commercial, Abdullah Town Houses, Main Wadhu Wah Road, Qasimabad, Hyderabad.  Qasimabad , Hyderabad",
Dr Zarina Zaidi,N/A,Gynecologists,"Main Defence Road                Main Boulevard, Main Defence Road, Lahore.  Rasheed Hospital , Lahore",
Dr Iftikhar Ahmad,N/A,Skin Specialists | Dermatologists,"Skin Care Clinic                19, Faiz Road, Block C, New Muslim Town, Lahore.  New Muslim Town , Lahore",
Dr Uroosa Khatoon,N/A,Gynecologists,"Dr Ziauddin Hospital                 Block B, North Nazimabad, Karachi.   North Nazimabad , karachi",
Dr Waseem Imran Sheikh,N/A,Skin Specialists | Dermatologists,"Hussain Clinic                BB 372/A T B HOSPITAL ROAD RAWALPINDI.  T B HOSPITAL ROAD , Rawalpindi",
Dr Amber Waris,N/A,Gynecologists,"Waris Clinic                56 / E, Maulana Shaukat Ali Road, Johar Town, Lahore.  Johar Town , Lahore",
Dr Rashid A Chaudhary,N/A,Skin Specialists | Dermatologists,"Shifa International Hospital,                Pitras Bukhari Road, H-8/4, H-8, Islamabad.  H-8 , Islamabad",
Dr. Maria Wasti,N/A,Skin Specialists | Dermatologists,"Ali Medical Centre                Kohistan Road, F8 Markaz, Islamabad.  F-8 , Islamabad",
Dr Khalid Mehmood,N/A,Skin Specialists | Dermatologists,"United Christian Hospital Main Boulevard Gulberg lll, Lahore.  Gulberg 3 , Lahore",
Dr Nabila Yusuf,N/A,Skin Specialists | Dermatologists,"Hayat Specialist Clinic                 Saddar Bazar,Lahore, Punjab, Pakistan.  Saddar Bazar , Lahore",
Dr Tariq Mehmood,N/A,Skin Specialists | Dermatologists,"Bilal Hospital                38-A, Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Dr M Jahangir,N/A,Skin Specialists | Dermatologists,"Kanan Clinic                121, Main Boulevard, Shadman, Lahore.  Shadman  , Lahore",
Dr Riaz Mehmood Malik,N/A,Skin Specialists | Dermatologists,"Chaudhry Rehmat Ali Memorial Trust Hospital                Ch Rahmat Ali Road, Block B1, Phase AII, Township, Lahore.  Township , Lahore",
Dr. Ambreen Khan,N/A,Gynecologists,"D.H.A Medical Center                 P-38 / A, 10th Street, Khayaban-e-Rahat, Street # 10, Phase-VI, DHA, Karachi.  DHA Phase-VI , karachi",
Dr Abdul Baqi,N/A,Cardiologists,"The Aga Khan Universiy hospital                 CC Nazerali Walji-2, Karachi.  Walji-2 , karachi",
Dr. Amer Latif,Hepatobiliary & Liver Transplant,Liver Transplant Surgeon,"Doctors Hospital                 152-G/1, Canal Bank, Johar TownLahore.  Johar Town , Lahore",
Dr Amanullah Khan,N/A,ENT Specialist,"Rasheed Hospital                Main Boulevard, Main Defence Road, Lahore.   Main Defence Road , Lahore",
Dr Sabreena Sohail,N/A,Skin Specialists | Dermatologists,"Sabrina Sohail 20 - Main Wahdat Road, Lahore.  Wahdat Road , Lahore",
Dr Nargis Waqar,N/A,Gynecologists,"National hospital & Medical Center DHA Lahore                  Model Town , Lahore",
Dr Lubna Zubair,N/A,Gynecologists,"Itefaq Hospital                Near H- Block, Model Town, Lahore.   Model Town , Lahore",
Dr Ehsan Ali,N/A,ENT Specialist,"Al - Shafi Hospital                Allama Iqbal Town, Lahore.   , Lahore",
Dr Muhammad Musharraf,N/A,Cardiologists,"National Medical Centre                A-5/A, National Highway, Phase 1, Defence Housing Authority,Near Kala Pul, Karachi.  DHA , karachi",
Dr Ashraf Kamaruddin,N/A,Gynecologists,"Zainab Panjwani Memorial Hospital                Mohammad Ali Habib Road, Numaish, Karachi.  Numaish , karachi",
Dr Naheed Sultana,N/A,Gynecologists,"Sughra Bilques Memorial Hospital                12, H/2, G-8 Markaz, Islamabad.  G-8 , Islamabad",
Dr Saeeda Ashraf Malhi Brig (Retd),N/A,Gynecologists,"Anwar Hospital                Peshawar Road, Islamabad/Rawalpindi  Peshawar Road , Rawalpindi",
Dr Waseem Sheikh,N/A,Gynecologists,"Al-Qaim Hospital                B-Block, Satellite Town, Rawalpindi.  Satellite Town , Rawalpindi",
Dr Hamida Zafar Bukhari,N/A,Gynecologists,"Zeb Medical Centre                Saidpur Road, Islamabad.  Saidpur Road , Rawalpindi",
Dr Azra Rizwan,N/A,Endocrinologist,"The Aga Khan University Hospital                CC Nazerali Walji-1, Karachi.  Stadium Road , karachi",
Dr Tariq Rasheed,N/A,Skin Specialists | Dermatologists,"Farooq Hospital                Main Boulevard Allama Iqbal Town, Lahore .  Allama Iqbal Town , Lahore",
Dr M Saleem Qureshi,N/A,Diabetologists,"The Diabetes and Liver Clinic                11 Block F-6/2, Hill Road, F-6, Islamabad/Rawalpindi.  F-6 , Islamabad",
Dr Urooj Malik,N/A,Gynecologists,"Dr Ziauddin Hospital                 Plot No. 33, Behind Kpt Hospital, Keamari,Karachi.  Keamari , karachi",
Dr Asad Saeed,N/A,Diabetologists,"Shaukat Khanum Memorial Cancer Hospital                7A Block R-3,، M.A. Johar Town، Lahore  Johar Town , Lahore",
Dr Saleem Malik,N/A,Gynecologists,"Shaukat Khanum Memorial Cancer Hospital and Research Centre                7A Block R-3,، M.A. Johar Town، Lahore.  Johar Town , Lahore",
Dr. Khurshid Khan,Associate professor of Medicine / Endocrinology,Diabetologists,"Doctors Hospital                 152-G/1, Canal Bank, Johar Town,Lahore .  Joha , Lahore",
Dr Ihsan Ali,N/A,ENT Specialist,"Sarwat Anwar Medical Complex                02 - Tariq Block, New Garden Town, Lahore.  New Garden Town , Lahore",
Dr Luqman Ahmad,N/A,Skin Specialists | Dermatologists,"Ubaida Sardar Memorial Hospital                Shalimar Link Road, Mughalpura, Lahore.  MughalPura , Lahore",
Dr Asadullah Lone,N/A,ENT Specialist,"Ittefaq Hospital, H - Block, Model Town, Lahore.  Model Town , Lahore",
Dr Mumtaz Uddin Haider,N/A,Urologists,"DHA Medical Center                 P-38 / A, 10th Street, Khayaban-e-Rahat, Street # 10, Phase-VI, DHA, Karachi.   DHA Phase-VI , karachi",
Dr Shabina Mirza,N/A,Skin Specialists | Dermatologists,"D.H.A Medical Center                 P-38 / A, 10th Street, Khayaban-e-Rahat, Street # 10, Phase-VI, DHA, Karachi.  DHA Phase-VI , karachi",
Dr Muhammad Tufail,N/A,Urologists,"Memon Medical Institute Hospital                 Hyder Buksh Gabol Road,Safoora Goth, Karachi.  Safoora Goth , karachi",
Dr Shahida Mansoor,N/A,Gynecologists,"Zoha Nursing Home                 Homepage, 251-A/1, Iftikhar Janjua Road, Rawalpindi.  Iftikhar Janjua Road , Rawalpindi",
Dr Ahmad Fawad,N/A,Urologists,"Dr. Ziauddin Hospital                 Block-B, North Nazimabad, Karachi.    North Nazimabad , karachi",
Dr Shaheen Kausar,N/A,Gynecologists,"Ittefaq Hospital Trust                Near H Block, Model Town, Lahore.   Model Town , Lahore",
Dr. Hina,N/A,Gynecologists,"Institute Of Surgery & Medicine Hospital                Agha Khan III Road, Garden East, Saddar Town, Karachi.  Saddar Town , karachi",
Dr M.SHAFI SHAIKH,N/A,ENT Specialist,"Near Hassan X-Ray, Hirabad, Hyderabad.  Hirabad , Hyderabad",
Dr Mahmooda Masood,N/A,Gynecologists,"Fatima Hospital                407-B, Satelite Town.  Satellite Town , Rawalpindi",
Dr Farah Naz Raza,N/A,Gynecologists,"Shalamar Hospital                Shalimar Link Road, Mughalpura, LahoreDaily+9242-36817857+9242-36814715-18  Mughalpura , Lahore",
Col. (R) Dr. Babar Afzal,N/A,Anesthesiologist,"Bilal Hospital                 38-A Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Dr. Sobia Shahzad,N/A,General Practitioner,"OPD Complex                Jhelum Road, Near Bahria Phase VIII Gate, Sawan , Rawalpindi.  Sawan , Rawalpindi",
Dr Samar Amin,N/A,Gynecologists,"Zainab Panjwani Memorial Hospital                Mohammadali Habib Road, Numaish, Karachi.    , karachi",
Dr. Syed Nazir Hussian,N/A,Diabetologist,"abu                dldskenwk3242sdaasda  Faisal Town , Lahore",Fee: Rs 5000
Prof. Dr. Muhammad Ajmal,N/A,ENT Specialist,"Bilal Hospital                38-A, Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Dr Shahid A Sami,N/A,Cardiologists,"AKUH Consulting Clinic                AKUH Consulting Clinic, Stadium Road. Karachi   Stadium Road , karachi",
Dr Amber Malik,N/A,Cardiologists,"Kanan Clinic                121, Phase-2, Main Boulevard, Shadman, Lahore.  Shadman , Lahore",
Dr Khalida Waheed,N/A,Gynecologists,"Ali Medical Centre (PVT) Ltd, Main Markaz, Sector F - 8, Islamabad.   , Islamabad",
Dr Rashid Ahmed,N/A,ENT Specialist,"143/3, Jail Road, Hirabad, Hyderabad.  Hirabad , Hyderabad",
Dr Naheed Sultana,N/A,Gynecologists,"Ali Medical Centr                Main Markaz, Sector F - 8, Islamabad.  F-8 , Islamabad",
Dr Hajira Hanif,N/A,Gynecologists,"Fatima Memorial Hospital                Shadman, Lahore.  Shadman  , Lahore",
Dr Attiya Mahboob,N/A,Skin Specialists | Dermatologists,"Main Boulevard GardenTown, Barket Market, New Garden Town, Lahore.  New Garden Town , Lahore",
Dr Talat Akber,N/A,Skin Specialists | Dermatologists,"146 / 1 Shadman Colony Jail Road, Lahore.   Shadman Colony  , Lahore",
Dr Nighat Ali Shah,N/A,Gynecologists,"The Aga Khan University Hospital                 AKUH Consulting Clinic 4, Stadium Road, Karachi.   Stadium Road , karachi",
Dr Anis Ronaq,N/A,Paediatric,"Aadil Hospital                 - Main Boulevard, Defence, Cantt Lahore.  DHA , Lahore",
Dr. Saima Ghayas,N/A,Gynecologists,"Saifee Hospital                ST-1, Block-F, North Nazimabad, Karachi.  North Nazimabad , karachi",
Dr FIRDOUS MUMTAZ,N/A,Gynecologists,"MF-24, Mezzanine Floor, Quaid-e-Azam Medical Center, C.M.H Road, Cantt: Hyderabad.  C.M.H Road , Hyderabad",
Dr M Mujeeb,N/A,ENT Specialist,"Shaukat Khanum Memorial Cancer Hospital & Research Centre                7A Block R-3M.A. Johar Town, Lahore.  Johar Townl , Lahore",
Dr Arif Raheem,N/A,Skin Specialists | Dermatologists,"Rahim Hospital                 63 - Riwaz Garden Lahore.   Riwaz Garden  , Lahore",
Dr Ayesha Hussain,N/A,Gynecologists,"Patel Hospital                  ST-18, Block-4 , Gulshan-e-Iqbal, Karachi.  Gulshan-e-Iqbal , karachi",
Dr Feroze Ahmed,N/A,ENT Specialist,"Capital Clinic                Markaz F-10, Islamabad.  F-10 , Islamabad",
Dr Prof Fahmida Naheed,N/A,Gynecologists,"Allam Iqbal Town                15-Gulshan Block, Main Bouleward, Allam Iqbal Town, Lahore.  Al-Shafi Hospital , Lahore",
Dr. Khurshid Khan,N/A,Diabetologists,"Doctors Hospital                 152-G/1, Canal Bank, Johar TownLahore.  Johar Town , Lahore",
Dr Aijaz Fatima,N/A,Gynecologists,"Dr. Ziauddin Hospital                 Block-B, North Nazimabad, Karachi.    North Nazimabad , karachi",
Dr. Naser Ali Khan,N/A,Cardiologists,"Armed Forces Institute of Cardiology                Peshawar Rd, Rawalpindi.   Peshawar Rd , Rawalpindi",
Dr Muhammad Aslam,N/A,ENT Specialist,"ENT Clinic                Kashmir Gate Plaza Muree Road, Islamabad.  Muree Road , Rawalpindi",
Dr Prof Rubina Hussain,N/A,Gynecologists,"Ziauddin Hospital                 Cifton, 4/B, Shahrah-e-Ghalib, Block 6, Clifton, Karachi.  Clifton , karachi",
Dr Farhat Parveen Malik,N/A,Gynecologists,"Hamid Madical Centre                Asghar Mall Road.Margalla Welfare Hospital, Pirwadhai, Rawalpindi/Islamabad.  Pirwadhai , Rawalpindi",
Dr Zareefuddin Khan,N/A,Pediatricians,"Umer Ali Nursing Homepage                 Markza 1-9 Islamabad.  I9 , Islamabad",
Dr Tahira Rashid,N/A,Gynecologists,"Al-Qaim Hospital                ,4th-B Road, Satellite Town, Islamabad/Rawalpindi.  Satellite Town , Rawalpindi",
Dr Kaniz Zehra Naqvi,N/A,Gynecologists,"Liaquat National Hospital                National Stadium Road,Karachi.   National Stadium Road , karachi",
Dr Ayesha Arshad,N/A,Skin Specialists | Dermatologists,"Bismillah Hospital                Park Lane, Mozang, Lahore.  Mozang  , Lahore",
Dr. Tariq Farman,N/A,Cardiologists,"Medicare Heart Hospital                22-23 Shaheed-e-Millat Road, Karachi.  Shaheed-e-Millat Road , karachi",
Dr Javaid Iqbal,N/A,ENT Specialist,"Al-Shafi Hospital                15-Gulshan Block, Main Bouleward, Allam Iqbal Town, Lahore.  Allam Iqbal Town , Lahore",
Dr. Jamshaid,N/A,Gastroenterology,"Farooq Hospital                Main Boulevard Allama Iqbal Town, Lahore.  Allama Iqbal Town , Lahore",
Dr Shahnaz Saeed Hassan,N/A,Gynecologists,"Naz Hospital                6-A, Link Shadman Road, Shadman Lahore.  Shadman Road , Lahore",
Dr Muhammad Khalid Jamil,N/A,ENT Specialist,"House No. 15-E, Street 58, G-9/4, Islamabad.  G-9 , Islamabad",
Dr Obaid ur Rehman,N/A,Skin Specialists | Dermatologists,"Obaid-ur-Rehman clinic, 4_Mozang Road,Lahore.  Mozang Road , Lahore",
Dr Aqeela Kausar,N/A,Gynecologists,"Liaquat National Hospital                National Stadium Rd, Karachi.  Stadium Road , karachi",
Dr. Muhammad Imran Asghar,N/A,Cardiologists,"Armed Forces Institute of Cardiology                 Peshawar Rd, Rawalpindi.   Peshawar Road  , Rawalpindi",
Dr Ayesha Nasir,N/A,Gynecologists,"Karachi National Hospital                239, J. M. Amil Colony, M. A. Jinnah Road, Opposite Mazar-e-Quaid, Karachi.  Amil Colony , karachi",
Dr Omar H Shaikh,N/A,Skin Specialists | Dermatologists,"The Image Clinic                 27-C-lll, M.M. Alam Road, Gulberg-lll,Lahore, Punjab, Pakistan,  Gulberg-lll , Lahore",
Dr Mian Iftikhar Hussain,N/A,ENT Specialist,"965-B, Near Haidry Chowk Saidpur Road.  Saidpur , Rawalpindi",
Dr Shahnaz Akber Hussaini,N/A,Gynecologists,"Liaquat National Hospital & Medical College                 WASC OPD No. 04 , L.N.H., National Stadium Road, Karachi.   National Stadium Road , karachi",
Dr. Khalid Zafar Hashmi,N/A,Hematologist,"Sindh Institute of Urology and Transplantation - S.I.U.T                Chand Bi Bi Road, Civil Hospital, Karachi.  Chand Bi Bi Road , karachi",
Dr Ghufranullah Khan,N/A,Cardiologists,"Tabba Heart Institute                Street 1, Block No. 2, Federal ""B"" Area, Hussainabad Street,   Hussainabad  , karachi",
Dr Zia Mahmood,N/A,ENT Specialist,"965/B Adjacent allied Bank, Near Haidry Chowk Saidpur Road, Islamabad.  Saidpur Road , Rawalpindi",
Dr Rubina Javaid,N/A,Gynecologists,"Heart international                610, Peshawar Road, Saddar, Islamabad/Rawalpindi.  Saddar , Rawalpindi",
Dr. Javaid Asghar,Chief of Radiology,Radiologist,"Doctor's Hospital Lahore                 152-G/1, Canal Bank, Johar Town, Lahore.  Johar Town , Lahore",
Dr Havovi Z Birdie,N/A,Gynecologists,"Dr Ziauddin Hospital                 Block-B, North Nazimabad, Karachi.  North Nazimabad , karachi",
Dr Bilqees Manzoor,N/A,Gynecologists,"Dr Ziauudin Hospital                 Block-B, North Nazimabad, Karachi.  North Nazimabad , karachi",
Dr Hamid Hassan,N/A,Cardiologists,"Ihsan Mumtaz Hospital                71, Maulana Shaukat Ali Road, Block E, Phase 1, Johar Town, Lahore  Johar Town , Lahore",
Dr Jamshed Bin Saeed,N/A,ENT Specialist,"KRL Hospital                G-9, Islamabad.  G-9 , Rawalpindi",
Dr Saadia Waraich,N/A,Gynecologists,"Liaquat National Hospital & Medical College                National Stadium Rd, Karachi.  Stadium Road , karachi",
Dr Asim Ali Hyder,N/A,Skin Specialists | Dermatologists,"First Medical 934-B Faisal Town Lahore.  FaisalTown , Lahore",
Dr Lumaan Sheikh,N/A,Gynecologists,"The Aga Khan University Hospital                 AKUH Consulting Clinic, Stadium Road, Karachi.  Stadium Road , karachi",
Dr Nasreen Suleman,N/A,Gynecologists,"Al-Shafi Hospital                Al-Shafi Hospital, 15-Gulshan Block, Main Bouleward, Allam Iqbal Town, Lahore.   Allam Iqbal Town , Lahore",
Dr Ali Raza,N/A,Cardiologists,"Liaquat National Hospital                National Stadium Road, Essa Nagri, Karachi.  Essa Nagri , karachi",
Dr Lt Col (R)Khadija Zia,N/A,Gynecologists,"The Family Clinic                Markaz F-10Islamabad.   F-10 Markaz , Islamabad",
Dr Farah Yasmeen Shakoor,N/A,Gynecologists,"Margalla Welfare Hospital                Pirwadhai, Islamabad.  Pirwadhai , Rawalpindi",
Dr. Maisam Abbas,N/A,ENT Specialist,"Medicare Hospital & Clinic                Gulshan Town, Karachi.  Gulshan Town , karachi",
Abdullah Ali Lashari,"Associate Consultant, Anesthesiologist",Anesthesiologist,"Shifa International Hospitals                H-8/4, Islamabad-Pakistan.  H-8 , Islamabad",
Dr Nishat Farooqul,N/A,Gynecologists,"Naz Hospital                6-A, Link Shadman Road, Shadman Lahore.  Shadman  , Lahore",
Dr. Sakina Anwar,N/A,Gynecologists,"Institute Of Surgery & Medicine Hospital                Agha Khan III Road, Garden East, Saddar Town, Karachi.   Saddar Town , karachi",
Dr Rehana Arain,N/A,Gynecologists,"62-A Unit No 6, Opp: Mehran Garden, Latifabad, Hyderabad.  Latifabad , Hyderabad",
Dr Kahkashan,N/A,Gynecologists,"Al-Qaim Hospital                4th-B Road, Satellite Town, Rawalpindi.  Satellite Town , Rawalpindi",
Dr Taqdees Anwar,N/A,Gynecologists,"Shifa International Hospital                Pitras Bukhari Road, H-8/4, H-8, Islamabad.   H-8 , Islamabad",
Dr Iqbal Rasheed Mian,N/A,Gynecologists,"Fatima Memorial Hospital                Main Boulevard, Phase 2, Shadman, Lahore.  Shadman , Lahore",
ABIDA KHALIL SATTAR,N/A,Breast Specialist,"Clifton Medical Services                Karachi.  Clifton  , karachi",
ALIYA BEGUM AZIZ,N/A,Gynecologists,"The Aga Khan University Hospital                 Consulting Clinic 4, Stadium Road, Karachi.  Stadium Road , karachi",
Dr Aliya Bano,N/A,Gynecologists,"Patel Hospital                 ST-18, Block-4 , Gulshan-e-Iqbal, Karachi.  Gulshan-e-Iqbal , karachi",
Dr SYED ABDUL ALEEM,N/A,ENT Specialist,"Adjacent Hydry Medical Store                Soldier Bazar, Saddar, Hyderabad.  Saddar , Hyderabad",
Dr Zia ul Miraj Ahmed,N/A,Urologists,"Ittefaq Hospital                 Ittefaq Hospital (Trust)Near H Block, Model Town,Lahore.  Model Town , Lahore",
Dr Samina Esbahani,N/A,Gynecologists,"Zainab Panjwani Memorial Hospital                Mohammad Ali Habib Road, Numaish, Karachi.  Numaish , karachi",
Dr. Ismail Hirani,N/A,ENT Specialist,"Saifee Hospital                Saifee Hospital, Shara-e-Sher Shah Su, Block F, North Nazimabad, Karachi.  North Nazimabad , karachi",
Dr. Erum Mazhar Hussain,N/A,Hematologist,"Liaquat National Hospital                National Stadium Rd, Karachi.   National Stadium Road , karachi",
Dr Prof Shahida Sheikh,N/A,Gynecologists,"Maryam Memorial Hospital                Peshawar Road, Islamabad.  Peshawar Rd , Rawalpindi",
Dr Salma Batool Naqvi,N/A,Gynecologists,"Liaquat National Hospital                National Stadium Road,Karachi.  Stadium Road , karachi",
Dr Rizwan Aziz Memon,N/A,Cardiologists,"Liaquat National Hospital                National Stadium Road, Essa Nagri, Karachi  Essa Nagri , karachi",
Dr. Taufeeq Shaikh,N/A,ENT Specialist,"Zainab Panjwani Memorial Hospital                Mohammad Ali Habib Rd, Gazdarabad, Katrak Parsi Colony, Karachi.   Katrak Parsi Colony , karachi",
Dr. Nawaz Lashari,N/A,Cardiologists,"National Medical Center                 A-5/A, National Highway, Phase 1, Defence Housing Authority,Near Kala Pul, Karachi.  DHA , karachi",
Dr Sohail Khurshid Lodhi,N/A,Gynecologists,"Hameed Latif Hospital                 14-Abu Bakar Blk., New Garden Town, Lahore.   New Garden Town , Lahore",
Dr Faria Asad,N/A,Skin Specialists | Dermatologists,"Akbar Medical Complex                 Main Boulevard, Defence, Lahore.  DHA , Lahore",
Dr. M. Yakoob Ahmedani,N/A,Diabetologists,"Tabba Heart Institute                St-1, Block # 2, Federal ""B"" Area, Karachi.   Federal ""B"" Area , karachi",
Dr Major (R) Haq Nawaz Khan,N/A,ENT Specialist,"716/D, Sixth Road Satellite Town, Rawalpindi.  Satellite Town , Rawalpindi",
Dr Afshan K Siddiqui,N/A,Skin Specialists | Dermatologists,"Ammar Medical Complex                8 - Jail Road ,Main Gulberg Lahore.  Main Gulberg , Lahore",
Dr Shazia Musheer,N/A,Gynecologists,"The Aga Khan University Hospital                 AKUH Consulting Clinic, Stadium Road, Karachi.  Stadium Road , karachi",
Dr Khalida Waheed,N/A,Gynecologists,"Ali Medical Centre                Kohistan Road, F-8, Islamabad.  F-8 , Rawalpindi",
Dr Irfan Ahmed,N/A,ENT Specialist,"Audiology Centre                Margalla Clinics, 64 East Moscow Plaza, Blue Area, Islamabad.  Blue Area , Islamabad",
Dr Shagufta Tahir,N/A,Gynecologists,"Liaquat National Hospital                National Stadium Road,Karachi.  Stadium Road , karachi",
Dr Sohail Athar,N/A,Skin Specialists | Dermatologists,"Ittefaq Hospital                 Near H Block, Model Town, Lahore.   , Lahore",
Dr Roshan Ara,N/A,Gynecologists,"B- 4, Diplai Memon Housing, Hyderabad.  Diplai Memon Housing , Hyderabad",
Dr. Brig. Zafar,N/A,General Surgeon,"Doctors Hospital                152-G/1, Canal Bank, Johar TownLahore.  Johar Town , Lahore",
Dr. Luna Pereira,N/A,Gynecologists,"Kharadar General Hospital                Agha Khan Road, Nawab Mahabat Khanji Road, Karadar, Karachi.  Karadar , karachi",
Dr. Tanveer Hussain,N/A,Medical Specialist,"Bilal Hospital                38-A, Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Dr Farrukh Mehmood,Assistant Professor,ENT Specialist,"Mehboob Fatima Medical Centre                Opposite Faisal Clinic Faisal Town Lahore.  Faisal Town , Lahore",
Dr DHARM DEV RATHI,N/A,Skin Specialists | Dermatologists,"49, Skin Care Clinic, Saddar, Hyderabad.  Saddar , Hyderabad",
Dr. Zuhaib Bin Saeed,N/A,General Practitioner,"OPD Complex                Jhelum Road, Near Bahria Phase VIII Gate, Sawan, Rawalpindi.  Sawan , Rawalpindi",
Dr Prof Sadiqua N Jaffery,N/A,Gynecologists,"Dr Ziauddin Hospital                  4/B, Shahrah-e-Ghalib, Block 6, Clifton, Karachi.  Clifton , karachi",
Dr M Sarwar Chaudhary,N/A,ENT Specialist,"Federal Government Services Hospital                Shaheed-e-Millat Rd, Islamabad.  Shaheed-e-Millat Rd , Islamabad",
Dr Arif Tarar,N/A,ENT Specialist,"Punjab Medical Centre                5 -Main Gulberg, Jail Road, Lahore.  Main Gulberg , Lahore",
Dr. Chaudhary Mohammad Tahir,N/A,Skin Specialists | Dermatologists,"Rasheed Hospital                Khayaban-e-Jinnah, Phase 1, DHA, Lahore.  DHA, Phase 1 , Lahore",
Dr Shahina Ishtiaq Assistant Prof,N/A,Gynecologists,"Dr Ziauddin Hospital                4/B, Shahrah-e-Ghalib, Block 6, Clifton, Karachi.  Clifton , karachi",
Dr Shazia Fakhar,N/A,Gynecologists,"Shifa Inernational Hospital Ltd.                Sector:H-8/4,Islamabad.   H-8 , Islamabad",
Dr. Musarrat Arshad,N/A,Gynecologists,"Saifee Hospital                  ST-1, Block-F, North Nazimabad, Karachi.    North Nazimabad , karachi",
Dr Sayeda Batool Mazhar,N/A,Gynecologists,"Ali Medical Centre                Main Markaz, Sector F - 8, Islamabad.  F-8 , Islamabad",
Dr MUKHTAR AHMED RAJPUT,N/A,ENT Specialist,"Consulting Chamber, Near Old A-One Hotel, Hirabad, Hyderabad.  Hirabad , Hyderabad",
Dr Nasim Yousaf,N/A,Diabetologists,"Shifa International Hospital                Pitras Bukhari Road, H-8/4, H-8, Islamabad.  H-8 , Islamabad",
Dr Abdullah Bin Khalid,N/A,Gastroenterology,"Consulting Clinics (JHS Building -Second Floor), Stadium Road, Karachi.  Stadium Road , karachi",
Dr Shaheen Nazly Jameel,N/A,Diabetologists,"717, Street 83, Block I-8/4, I-8, Islamabad/Rawalpindi.  I-8 , Rawalpindi",
Dr Sohail Athar,N/A,Skin Specialists | Dermatologists,"Ittefaq Hospital Trust                Near H-Block Model Town, Lahore.  Model Town , Lahore",
Dr Arshia Javed,N/A,Gynecologists,"Dr Ziauddin hospital                 Block-B, North Nazimabad, Karachi.  North Nazimabad , karachi",
Dr Abdul Qayyum,N/A,ENT Specialist,"Saifee Hospital                Shara-e-Sher Shah Suri road, Block F, North Nazimabad, Karachi.  North Nazimabad , karachi",
Dr Qazi M Tariq,N/A,General Surgeon,"Murshid Hospital & Health Care Centre                Hub River Road, MujahidabadKarachi.  Mujahidabad , karachi",
Dr Riffat Majid,N/A,Skin Specialists | Dermatologists,"The Aga Khan University Hospital                 Stadium Road, Karachi.  Stadium Road , karachi",
Dr. Arif Hamayun Agha,Consultant Urologist,Urologists,"Doctors Hospital                152-G/1, Canal Bank, Johar Town, Lahore 54590, Pakistan.  Johar Town , Lahore",
Dr Ambreen Ejaz,N/A,Gynecologists,"Mid City Hospital                 3-A Shadman II, Jail Road. Opposite Kinaird College, Lahore.  Shadman  , Lahore",
Dr. Fouzia Ahmed,N/A,Gynecologists,"Patel Hospital                ST-18, Block-4 , Gulshan-e-Iqbal, Karachi.  Gulshan-e-Iqbal , karachi",
Dr SHOUKAT ALI H. MEMON,N/A,Skin Specialists | Dermatologists,"Near National Saving Center, Saddar, Hyderabad.  Saddar , Hyderabad",
Dr. Syed Masood Raza,N/A,Hematologist,"Sindh Institute of Urology and Transplantation                Chand Bi Bi Road, Civil Hospital.  Chand Bi Bi Road , karachi",
Dr Shahab Javed,N/A,Urologists,"Jamal Noor Hospital                Jamal Noor Hospital, Dhoraji Colony, Karachi.  Dhoraji Colony , karachi",
Dr. Ayaz Hussain Sheikh,N/A,Cardiologists,"Medicare Hospital                Medicare Hospital, 23, Shaheed-e-Millat Road, Bahadurabad, Karachi.  Bahadurabad , karachi",
Dr  Naeem Iqbal,N/A,Skin Specialists | Dermatologists,"SESSI Landhi Hospital                Adamjee Road, Opp. KDA Sub-Office, Landhi Karachi.  Landhi  , karachi",
